जैज. जैज 124.	జాజ. జాజ 124.
पहले यह बताइए कि धीमा कैसे होना है.	ఎలా నెమమదించాలో మొదట చెపపండి.
मैं कोई मदद कर सकती हूँ?	సాయపడటానికి నేను ఏమెనా చేయనా?
-कोई चेकलिसट मिली? -हाँ.	-పనిపటటిక కనుగొననావా? -అవును.
"तुमहें जितना दरद होगा, उससे कहीं जयादा मुझे होगा. "	"అది నీకననా నాకే ఎకకువ నొపపి కలిగిసతుంది. "
विमान को संभाला है.	విమానం నా అదుపులో ఉంది.
इसे चखकर देखते हैं.	సరే, దీనని రుచి చూదదాం.
मैं कुछ कर सकती हूँ? जिससे कोई मदद हो?	నేను చేయగలిగినది ఏదెనా ఉందా? ఏదెనా సాయం చేయనా?
इसे धकेलने के लिए इससे जयादा कुछ नहीं कर सकता.	దీనని తోయడానికి నేను చేయగలిగింది ఇంతే.
कॉकपिट बना रही हूँ.	నీకోసం కాకపిట చేసతుననా.
आपके लिए किसी दूसरे पायलट से मदद लेंगे जो उस विमान से वाकिफ है.	ఈ విమానంతో పరిచయం కల మరో పెలెట నుండి సహాయం అందిసతాం.
वह सेवानिवृतत हो चुके हैं और उनका खुद का विमान मकैनिक का काम है	అతను పదవీ విరమణ చేసి, విమాన మెకానికగా పని చేసతుననాడు
जहाँ उसके माँ-बाप औषध विकरेता बने	తన తలలిదండరులు ఇదదరూ ఫారమసిసటలు అయిన చోట
बात बन रही है?	అది పని చేసతోందా?
