पलीज . पलीज .	పలీజ . పలీజ .
मैं अपने बारे में एक सवाल का जवाब द ूँगा .	నా గురించి ఒక పర శ న కు సమా ధా నం చెప తా .
कया हुआ ?	ఏ మెంది ?
और पयार से क हो	తి యయ గా ఇలా చెపపు
ओह , दो छो टे से श बद पूरा मि जा ज बदल सकते हैं	ఓహ , రెండు చినన మాట లు మొతత ం పరిసథి తి ని మార చేయ గల వు
- सही कहा ! - यहाँ वापस आओ !	- అవును ! - వెన కకి రండి !
लेकिन वह मेरी पक ड से छ ू ट रहा था , ठीक है ?	కానీ వాడు నా మాట విన డం లేదు , సరేనా ?
- शुकरिया . - शान दार . इसे देखो . यह टर ें ड कर रहा है .	- థాంక స . - అదభు తం . ఇది చూడు . ట రెండ అవు తుంది .
ग जब . हाँ , मुझे उससे पयार है .	వా వ . అవును , వాడు నాకు చాలా ఇషటం .
मुझे तो अ ध य कष ला य क लग रही है	చూడ డానికి పర ె సి డె ంట లా గే ఉననాడు .
और उसने पो सट कर दिया .	వాడు దానిని పో సట చేసా డు .
शुकरिया , पै ट रिक .	థాంక స , పా ట రిక .
- कया कया है ? - रुको , कया मैं . . .	- ఏంటి ఏమి టి ? - ఆగు , నేను . . .
धयान से .	జా గర తత .
लेकिन यह आ सान है . मैं इसे ठीक कर सकता हूँ .	కానీ ఇది సు ల భ మెన ప నే . నేను ఈ తపపు ను సరి చేయ గలను .
मैं जान ना नहीं चाहता !	నాకు తెలుసు కో వాలని లేదు !
ठीक है . ग ले लग ने में तुम जी त गए . बढिया है . यह म जे दार था .	సరే . నీకు హ గ ఇవ వాల సి ందే . అదభు తం . భలే అనిపి ంచింది .
